原神,#genre#
《原神》4.6版本「两界为火，赤夜将熄」前瞻特别节目,https://prod-vod-sign.miyoushe.com/ocppnchMzAHe3KCy7nBIYFIliAIZBDMQVCEv4J?auth_key=1712931796-44f8823ebc-0-0bb4630d4ce88f46a17890fa165c94d4
《原神》4.6版本PV：「两界为火，赤夜将熄」,https://prod-vod-sign.miyoushe.com/oIhDMh7Ni7qhITJsMjzQyAVyQgCIFKv4QAfDat?auth_key=1712930060-3471bc867c-0-6ac5a93f98b9000288aa94e60611c50a

《原神》4.0版本「仿若无因飘落的轻雨」前瞻特别节目,https://prod-vod-sign.miyoushe.com/og6RzQCLzPuDgVBiBMwZkscAwQMMxhcTE0bII?auth_key=1712934666-bf68716e9a-0-6135b36b49159be86b5c3f4e49c68538
《原神》4.1版本「向深水中的晨星」前瞻特别节目,https://prod-vod-sign.miyoushe.com/oEPlQrFMEPfBREaAJQgstQopAAcYIgBnDDfCVL?auth_key=1712934555-d2d9887702-0-cc51a98e14b4732f6bef33facfe88561
《原神》4.2版本「罪人舞步旋」前瞻特别节目,https://prod-vod-sign.miyoushe.com/oI7i0PykfAqlgsMECJAvNNQSRBNIMwFgmMFeHL?auth_key=1712934308-4614f22e38-0-e357fafb4bad198d1ae93c147e29e187
《原神》4.3版本「蔷薇与铳枪」前瞻特别节目,https://prod-vod-sign.miyoushe.com/oknlvLPUNcI3MQFrEHgVQqgA6QnF8lm5f9AwBf?auth_key=1712934383-9ba3d5c335-0-996ce6b4995f255295e018f1769250b5
《原神》4.4版本「彩鹞栉春风」前瞻特别节目,https://prod-vod-sign.miyoushe.com/oIItqyxi4ASckQCWipEFuy7gkWMre1bnbBW5Xm?auth_key=1712934442-72c9d6e2cb-0-23283e2c1d898632a947d1a138f69493
《原神》4.5版本「铓锋锦间裁」前瞻特别节目,https://prod-vod-sign.miyoushe.com/o00DIhnr2mFC1oN2THZZACyXXipQSAweEUwnh9?auth_key=1712931610-8127fe7f5b-0-1ccdbce2ffbc42aff1e8eaeef105bb41

